Abandon         ebandın	          TERK ETMEK
Allow           elov              İZİN VERMEK
Almost          olmost            HEMEN HEMEN
Alone           elon              1.YALNIZ  2.TEK
Along           elong             1.BOYUNCA  2.İLERİ
Aloud           elaud             SESLİ
Already         olredi	          AZ ÖNCE, ZATEN
Also            olso              HEM DE
Although        oldo              -e rağmen, 1.GERÇİ 2.OLMAKLA BERABER
Altogether      oltugedır         TÜMÜYLE, HEP BERABER
Always          olveys	          HER ZAMAN
Amaze           emeyz             şaşırtmak
Amazing         emeyzin           şaşırtıcı
Amazed          emeyzd            şaşırmış, hayret etmiş
Ambassador      embesedır         büyükelçi
Ambition        embişın	          hırs
Ambitious       embişız           hırslı
Ambush          embuş             tuzak, pusu
Among           emong             arasında (ikiden fazla şeyin)
Between         bitviin           arasında (iki şeyin)
Amount          emaunt	          miktar
Amuse           emüuz             güldürmek
Smile           sımayl            gülümsemek
Laugh           lauh              gülmek
And             end               ve
Or              or                veya, ya da
Anger           engır             öfke
Angry           engri             kızgın
Animal          enimıl	          HAYVAN
Ankle           enkl              AYAK BİLEĞİ
Anniversary     enivörsıri        YILDÖNÜMÜ
Announce        enauns	          BİLDİRMEK, ÇAĞRIDA BULUNMAK, ANONS
Annoy           enoy              RAHATSIZ ETMEK, KIZDIRMAK
Annoying        enoyin            sinir bozucu
Annual          enyuıl	          YILLIK
Another         enadır	          DİĞER, BİR BAŞKA
Other           adır              diğer
Answer          ensır             cevap, yanıt, cevaplamak
Ant             ent               KARINCA			
Anti            anti              KARŞI, ZIT, TERS				
Anxiety         enzayıti          ENDİŞE			
Anxious         enkşıs	          ENDİŞELİ			
Any             eni               HERHANGİ				
Anybody         enibadi	          HERHANGİ BİRİ				
Anyone          enivan	          HERHANGİ BİRİ				
Anything        enyting	          HERHANGİ BİR ŞEY				
Anyway          enivey	          HER NEYSE			
Anywhere        eniveır	          HERHANGİ BİR YER				
Apart           epart             AYRI	
Apart From      epart from        HARİÇ, DIŞINDA			
Ape             eyp               MAYMUN		
Apologize       epolocayz         ÖZÜR DİLEMEK						
Appeal          epiıl             1.HOŞA GİDEN 2.YALVARMAK 3.ÜST MAHKEMEYE BAŞVURMAK
Appear          eppiır	          görünmek			
Appearance      eppiırıns         görünüş
Apparent        eperınt	          açık, kolayca görünen	
Appetite        epıtayt	          İŞTAH				
Apple           epıl              ELMA
Applicant       eplikınt          BAŞVURAN	
Application     eplikeyşın        BAŞVURU				
Apply           eplay             1.BAŞVURMAK 2.UYGULAMAK				
Appoint         eppoint	          ATAMAK				
Appointment     eppointmınt       1.RANDEVU 2.ATAMA				
Appreciate      eprişieyt         MÜTEŞEKKİR, DEĞER BİLMEK ,BEĞENMEK				
Approach        eproç             1.YAKLAŞMAK 2.YAKLAŞIM 3.GELİŞ				
Approve         epruv             onaylamak			
Prove           pruv              kanıtlamak
Approximate     eproksimıt        YAKLAŞIK OLARAK				
Apricot         eprikot	          KAYISI				
April           eyprıl	          NİSAN				
Archbishop      arçbişıp          BAŞPİSKOPOS				
Architect       arkitekt          mimar			
Architecture    arkitekçır        mimarlık
Architectural   arkitekçıral      mimari
Area            eriya             ALAN, BÖLGE				
Argue           argüu             TARTIŞMAK				
Argument        argümınt          TARTIŞMA				
Arise           erayz             KALKMAK, YÜKSELMEK				
Aristocrat      eristokrat        ARİSTOKRAT				
Arm             arm               KOL, SİLAH				
Armchair        armçeir	          koltuk
Sofa            sofa              divan, kanepe
Couch           kauç              kanepe
Pillow          pilo              yastık
Armour          armır             ZIRH				
Army            armi              ORDU				
Around          eraund	          1.AŞAĞI YUKARI 2.ÇEVRE				
Arrange         ereync	          DÜZENLEMEK, AYARLAMAK				
Arrest          erest             TUTUKLAMAK				
Arrive          erayv             varmak
Arrival         erayvıl	          varış				
Depart          dipart            ayrılmak
Departure       diparçur          kalkış, ayrılış
Arrow           erov              ok
Bow             bou               yay
Art             art               SANAT				
Article         artikl	          1.MAKALE 2.EŞYA				
Artificial      artifişıl         YAPAY				
Artist          artist	          SANATÇI				
As              ez                1.GİBİ 2.OLARAK 3.OLARAK				
Ash             eş                kül
Ashtray         eştirey           küllük
Shame           şeym              utanç
Ashamed         eşeymd	          UTANMIŞ				
Aside           esayd             BİR YANDA				
Ask             esk               SORMAK, İSTEMEK				
Asleep          esliip	          UYKUDA				
Ass             es                1.EŞEK 2.APTAL				
Assembly        esembli	          1.MONTAJ 2.OTURUM				
Assist          esist             YARDIM ETMEK				
Assistant       esistınt          YARDIMCI				
Associate       esoşieyt          İLGİLENMEK, BİRLEŞTİRMEK				
Assume          esuym             VARSAYMAK				
Astonish        estoniş	          ŞAŞIRMAK (bir kimseye)				
At              et                DE..DA  eki				
Atmosphere      etmosfiır         HAVAKÜRE, ATMOSFER				
Attach          eteç              BİRLEŞTİRMEK				
Attack          etek              SALDIRMAK, ATAK				
Attempt         etempt            DENEMEK				
Attend          etend             KATILMAK, (bir yerde)BULUNMAK				
Attention       etenşın	          DİKKAT				
Attitude        etitüud	          YAKLAŞIM, DÜŞÜNCE, HAREKET, TAVIR				
Attractive      etrektiv          ÇEKİCİ				
August          ogust             AĞUSTOS				
Aunt            aant              TEYZE, HALA				
Autumn          otumn             SONBAHAR				
Available       eveylıbl          HAZIR, SERBEST, BOŞTA				
Avenue          evenyu            CADDE				
Average         evirıç            ORTALAMA				
Avoid           evoid             KAÇINMAK
Wake up         veyk ap           uyanmak
Awake           eveyk             uyanık				
Aware           eveyr             farkında olmak, bilgili, haberdar olmak				
Away            evey              uzak, buradan, burada değil				
Awful           oful              KÖTÜ, BERBAT, ÜZÜCÜ				
Axe             eks               BALTA				

Baby            beybi             BEBEK				
Back            bek               1.ARKA 2.SIRT				
Backbone	bekbon	          1.SIRT KEMİĞİ 2.BİR İŞİN TEMELİ				
Background	bekraund	  1.FON, GERİ PLAN 2.TEMEL				
Backward	bekvörd           GERİYE DOĞRU				
Bad             bed               KÖTÜ				
Badly           bedli             1.KÖTÜ 2.ÇOK FAZLA				
Bag             beg               ÇANTA				
Baggage         begıc             BAGAJ				
Bake            beyk              PİŞİRMEK			
Baker           beykır            FIRINCI			
Balance         belıns	          1.DENGE 2.BAKİYE				
Balcony         belkıni           BALKON
Bald            bold              kel
Bold            bold              kalın, cesur, cüretkar
Ball            bol               1.TOP 2.BALO
Ballerina       belıriinı         BALERİN
Ballet          baley             BALE
Balloon         baluun            BALON
Ban             ben               yasaklamak, yasak
Banana          bınana            muz
Band            bend              1.BANT (şerit)  2.BANDO
Bank	benk	BANKA
Banker	benkır	BANKA YÖNETİCİSİ, BANKER
Banknote	benknot	KAĞIT PARA
Bankrupt	benkrapt	İFLAS
Bar	bar	1.ÇUBUK 2.BAR
Bare	beyr	ÇIPLAK, BOŞ
Bargain	bargın	1.PAZARLIK ETMEK 2.KELEPİR
Barrel	berıl	1.VARİL 2.NAMLU
Base	beys	1. TABAN 2.ÜS
Basement	beysmınt	BODRUM
Basin	beysn	KAZAN
Basket	baskıt	SEPET
Bath	bath	YIKANMAK
Bathe	beth	YIKAMAK (bedenin bir bölümünü)
Battle	betl	SAVAŞ, MUHAREBE
Bay	bey	KOY
Beach	biiç	SAHİL
Bean	biin	FASULYE
Bear	beır	1.TAŞIMAK, DAYANABİLMEK 2.AYI
Unbearable anbeırable çekilmez, katlanılmaz
Beard	bıed	SAKAL
Moustache mustaç  bıyık
Beast	biist	CANAVAR
Beat	biit	1.VURMAK  2.YENMEK
Beautify büutifi güzelleşmek
Beauty	büuti	güzellik
Beautiful	büutiful	güzel
Reason rizın mantık, neden, sebep
Reasonable rizınabl mantıklı
Cause koz neden, sebep
Because	bikoz	çünkü + cümle
Become	bıkam	GELİŞMEK, DEĞİŞMEK
Bed	bed	YATAK
Bedroom bedrum  yatak odası
Bee	bii	ARI
Beef	biif	DANA ETİ
Beer	biır	BİRA
Beetle	biitl	HAMAMBÖCEĞİ
Before	bifor	ÖNCE
Beg	beg	dilenmek
Begin	begın başlamak
Start sıtart başlamak 
Behave	biheyv	davranmak
Behaviour biheyvıor davranış
Behind	bihaynd	arkada, geride
In front of infrontof önde, önünde
Being	biing	VARLIK
Believe	bıliiv inanmak
Belief bılif inanç
Bell	bel	ZİL, ÇAN
Belong	bilong	AİT OLMAK + to
Beneath	bınith	ALTINDA
Below	bilov	altta, aşağıda
Above   abov    yukarıda
Belt	belt	KEMER
Bench	benç	1.TEZGAH  2.BANK
Bend	bend	EĞMEK, EĞİLMEK
Benefit	benıfit	YARARI OLMAK
Beneficial benıficıil yararlı
Berry	beri	KÜÇÜK ÇEKİRDEKSİZ MEYVE
By	bay	YANINDA, SIRASINDA, TARAFINDAN, ..E KADAR
Beside	bisayd	YANINDA
Besides	bisaydz	HEM DE
Bet	bet	İDDİA ETMEK, İDDİAYA GİRMEK
Better	better	DAHA İYİ
Best	best	EN İYİ
Between	bitviin	ARASINDA
Beyond	biyand	ÖTESİNDE
Bicycle	baysikl	BİSİKLET
Big	big	BÜYÜK
Bike	bayk	BİSİKLET
Bill	bil	1.MAKBUZ 2.HESAP 3.KANUN TASLAĞI 4.GAGA (KUŞ)
Bin	bin	KAP
Bind	baynd	BAĞLAMAK
Bird	börd	KUŞ
Birth	börth	DOĞUM
Biscuit	biskit	BİSKÜVİ
Bishop	bişıp	PİSKOPOS
Bit	bit	1.PARÇA 2.MATKAP,ANAHTARIN UCU 3.ISIRMANIN PAST ŞEKLİ
Bite	bayt	ISIRMAK
Black	blek	SİYAH
Blame	bleym	SORUMLU TUTMAK, SUÇLAMAK
Blank	blenk	BOŞLUK
Space  sıpeys  boşluk, uzak, aralık
Blanket	blenkıt	BATTANİYE
Blast	blast	PATLAYARAK PARÇALANMA, MAHVETMEK
Bless	bles	(Tanrı'dan) KORUNMASINI DİLEMEK, TAKDİS
Blind	blaynd	KÖR
Block	blok	BLOK
Blood	blad	KAN
Bloom	bluum	ÇİÇEK, ÇİÇEK AÇMAK
Blow	blou	ÜFLEMEK, PATLAMAK
Blue	blu	1. MAVİ 2.MUTSUZ
Bluff	blaf	BLÖF
Board	boord	BİNMEK (gemiye,uçağa,vs.) 2.TAHTA 3.KURUL
Boast	boust	ÖVÜNMEK
Boat	bout	BOT;SANDAL
Body	badi	GÖVDE;VÜCUT
Boil	boıl	KAYNAMAK
Bold	bould	CÜRETKAR, UTANMAZ, KORKUSUZ vs.
Bomb	bomb	BOMBA
Bone	boun	KEMİK
Bonfire	bonfayır	MEYDAN ATEŞİ, ŞENLİK ATEŞİ
Book	buk	KİTAP
Book	buk	YER AYIRTMAK
Border	bordır	SINIR
Bore	bor	CAN SIKMAK
Bored	bord	CANI SIKILMIŞ				
Born	born	DOĞMUŞ				
Borrow	borou	ödünç almak
Lend   lend ödünç vermek		
Boss	bos	PATRON				
Both	bouth	İKİSİ				
Bottle	botl	şişe	
Bottom	botım	en alt, dip
Top     tap     en üst, zirve		
Bowl	boul	TAS				
Box	boks	1.KUTU 2.BOKS				
Boy	boy	ERKEK ÇOCUK				
Bra	bra	SUTYEN				
Brain	breyn	BEYİN				
Brass	bras	PİRİNÇ (metal)				
Brave	breyv	KORKUSUZ, CESUR				
Bread	bred	EKMEK				
Break	breyk	KIRMAK				
Breakfast	brekfıst	KAHVALTI				
Breath	breth	NEFES				
Breathe	brith	NEFES ALMAK				
Brick	brik	TUĞLA				
Bridge	bric	köprü
Fridge  fric    buzdolabı				
Brief	briif	KISA, ÖZETLİ				
Bright	brayt	PARLAK		
Bring	bring	GETİRMEK				
Broad	brood	GENİŞ				
Broadcast	broodkast	YAYIN (radyo ve T.V. yoluyla)				
Broom	bruum	SÜPÜRGE				
Brother	bradır	ERKEK KARDEŞ, AĞABEY				
Brown	braun	KAHVERENGİ				
Brush	braş	1.FIRÇA  2.FIRÇALAMAK				
Budget	bacıt	1.BÜTÇE  2.BÜTÇE YAPMAK				
Build	bild	İNŞA ETMEK, YAPMAK				
Building	bilding	BİNA				
Bulb	balb	AMPUL				
Bump	bamp	ÇARPIŞMA				
Bumper	bampır	TAMPON (araba)				
Bumpy	bampi	ENGEBELİ				
Bunch	banç	DESTE, DEMET				
Bungalow	banglou	BUNGALOV				
Burglar	börglır	HIRSIZ				
Burn	börn	YANMAK				
Burst	börst	PATLAMAK				
Bury	böri	GÖMMEK				
Bus	bas	OTOBÜS				
Bush	buş	ÇALI				
Business	biznıs	İŞ				
Busy	bizi	MEŞGUL				
But	bat	FAKAT				
Butcher	butçır	KASAP				
Butter	batır	TEREYAĞ				
Button	batn	DÜĞME				
Buy	bay	satın almak				
Sell    sel     satmak				



Cab	keb	TAKSİ				
Cable	keybl	1.KABLO 2.TELGRAF				
Cage	keyc	KAFES				
Cake	keyk	KEK				
Calculate	kalkuleyt	HESAPLAMAK				
Calendar	kelindır	TAKVİM				
Call	kol	1.ÇAĞIRMAK 2.TELEFON ETMEK 3.KISA ZİYARET				
Calm	kaam	SAKİN	
Camera	kemıra	KAMERA				
Camouflage	kamuflaaj	SAKLAMAK				
Camp	kemp	KAMP				
Campaign	kempein	KAMPANYA				
Campus	kempıs	KAMPÜS				
Can	ken	TENEKE KUTU				
Canal	knal	KANAL				
Cancel	kensıl	İPTAL ETMEK				
Cancer	kensır	KANSER				
Candidate	kendidıt	ADAY				
Candle	kendl	MUM				
Canteen	kantiin	KANTİN				
Capacity	kpasiti	KAPASİTE				
Capital	kepıtl	1.BAŞKENT 2.BÜYÜK HARF 3.SERMAYE, ANAMAL				
Captain	keptın	1.KAPTAN  2.YÜZBAŞI				
Capture	kepçır	1.ELE GEÇİRMEK  2.HAPSE ATMAK				
Car	kaar	ARABA				
Caravan	karavan	KARAVAN				
Card	kaad	KART				
Cardigan	kardigın	HIRKA				
Care	keyr	DİKKAT, ÖZEN				
Career	kariır	MESLEK				
Carnival	karnivıl	KARNAVAL				
Carpenter	karpıntır	MARANGOZ				
Carpet	kaarpıt	HALI				
Carriage	keriıc	1.FAYTON 2.VAGON				
Carry	keri	TAŞIMAK				
Case	keys	1.KUTU,KAP 2.DAVA				
Cash	keş	NAKİT				
Castle	kesl	KALE				
Cat	ket	KEDİ				
Catch	keç	YAKALAMAK				
Cattle	ketl	BÜYÜKBAŞ HAYVAN				
Cause	koz	1.NEDEN  2.NEDEN OLMAK				
Ceiling	silign	TAVAN				
Cell	sel	HÜCRE (hapis,beyin v.b)				
Cellar	selır	KİLER, BODRUM				
Century	sençri	YÜZYIL				
Ceremony	serımıni	SEREMONİ
Certain	sörtın	KESİN,BELİRLİ,  EMİN OLMAK
Certainly	sörtınli	KUŞKUSUZ
Certificate	sertıfıkeyt	SERTİFİKA
Chain	çeyn	ZİNCİR
Chair	çeır	İSKEMLE
Chairman	çeırmen	YÖNETİM KURULU BAŞKANI
Chalk	çolk	TEBEŞİR
Challenge	çalınc	MEYDAN OKUMA
Champion	çempiın	ŞAMPİYON
Championship	çempiınşip	ŞAMPİYONA
Chance	çens	ŞANS, FIRSAT
Change	çeync	1.DEĞİŞMEK  2.DEĞİŞİM 3.BOZUK PARA
Character	kerıktır	KİŞİLİK
Charge	çarc	1.DOLDURMAK 2.MASRAFA YAZMAK
Charm	çarm	ÇEKİCİLİK
Charming	çarming	ÇEKİCİ
Chatter	çetır	GEVEZELİK YAPMAK
Cheap	çiip	UCUZ
Cheat	çiit	1.HİLECİ 2.HİLE YAPMAK, KOPYA ÇEKMEK
Check	çek	KONTROL ETMEK
Cheer	çiır	1.NEŞE 2.COŞTURMAK
Cheese	çiiz	PEYNİR
Chemical	kemıkl	KİMYASAL
Cherry	çeri	KİRAZ
Chess	çes	SATRANÇ
Chewing-Gum	çuving gam	SAKIZ
Chicken	çikın	PİLİÇ
Chief	çif	ŞEF
Child	çayld	ÇOCUK
Childhood	çayldhuud	ÇOCUKLUK
Chin	çin	ÇENE
Choose	çuz	SEÇMEK
Christian	krisçın	HIRİSTİYAN
Church	çörç	KİLİSE
Cigarette	sigıret	SİGARA
Cinema	sinıma	SİNEMA
Circle	sörkl	1.ÇEMBER  2.GRUP (ÇEVRE)
Circular	sörkulır	YUVARLAK, ÇEMBERSEL, SİRKÜLER (imza v.b)
Circumstances	sörkımstansıs	DURUM, VAZİYET
Circus	sörkıs	SİRK
Citizen	sitizn	YURTTAŞ
City	siti	KENT;SİTE
Civic	sivik	1.KENTE AİT 2.'CIVIC DUTY': YURTTAŞLIK GÖREVİ
Civil	sivl	SİVİL
Claim	kleym	İLERİ SÜRMEK, SAVLAMAK
Clasp	klasp	SIKICA TUTMAK
Class	klas	SINIF
Classic	klesik	KLASİK
Clean	kliin	1.TEMİZLEMEK 2.TEMİZ
Clear	kliır	1.AÇIK, BERRAK, ANLAŞILAN  2.(ortalığı) TOPLAMAK
Clerk	klark	MEMUR
Clever	klevır	AKILLI
Climb	klaymb	TIRMANMAK, YÜKSELMEK
Cloakroom	kloukrum	VESTİYER, TUVALET
Clock	klok	SAAT
Close	klous	YAKIN
Close	klouz	1.SON 2.KAPALI 3.KAPATMAK
Clothes	klouthz	GİYSİLER (her zaman çoğuldur )
Cloud	klaud	BULUT
Club	klab	1.KLÜP 2.(kağıt oyunlarında) SİNEK
Coach	kouç	1.ANTRENÖR 2.YOLCU VAGONU 3.ŞEHİRLERARASI OTOBÜS
Coal	kol	KÖMÜR
Coat	kout	PALTO
Cobweb	kobveb	ÖRÜMCEK AĞI
Coconut	kokonat	HİNDİSTAN CEVİZİ
Coffee	kafi	KAHVE
Coffin	kofin	TABUT
Coin	koin	MADENİ PARA
Cold	kould	SOĞUK
Collar	kolır	YAKA, TASMA
Collect	kolekt	TOPLAMAK
Colour	kalır	RENK
Comb	kom	TARAK
Come	kam	GELMEK
Comfort	kanfırt	KONFOR ,RAHAT
Comfortable	kanfırtıbıl	KONFORLU
Command	komand	KUMANDA ETMEK
Commence	kımens	BAŞLAMAK
Commercial	kımörşıl	1.TİCARİ 2.REKLAM ( filmi )
Common	kamın	1.AVAM, BASİT, SADE 2.ORTAK ,MÜŞTEREK
Community	komüniti	TOPLUM
Company	kampany	1.ŞİRKET, KUMPANYA 2.BERABERLİK, ARKADAŞLIK
Comparatively	kımpırativli	MUKAYESELİ OLARAK
Compare	kımpeyr	MUKAYESE ETMEK
Compass	kampıs	1.PUSULA  2.PERGEL
Compete	kımpiit	YARIŞMAK
Competition	kompitişn	1.YARIŞMA 2.REKABET
Complain	kımpleyn	YAKINMAK, ŞİKAYET ETMEK
Complete	kımpliit	BÜTÜN, TÜM, TAMAMI, BİTMİŞ
Compliment	komplimınt	İLTİFAT, KOMPLİMAN, HEDİYE
Compound	kompaund	BİRLEŞİK, BİLEŞİK
Concern	konsörn	1.İLGİLENDİRMEK  2.ÜZÜLMEK
Concert	kansıt	KONSER
Conclude	konkluud	1.SONUCA ULAŞMAK 2.KARAR VERMEK
Condition	kındişın	DURUM, ŞART
Confess	kınfes	İTİRAF ETMEK
Confidence	konfidıns	GÜVEN
Confuse	kınfüuz	(kafası) KARIŞMAK, ŞAŞIRMAK
Congratulate	kongraçuleyt	KUTLAMAK
Connect	konekt	BİRLEŞTİRMEK				
Conquer	konkuır	İŞGAL ETMEK				
Conscience	konşıns	VİCDAN, BİLİNÇ				
Conscious	konşıs	BİLİNÇLİ				
Consider	konsidır	1.GÖZ ÖNÜNE ALMAK  2.DÜŞÜNMEK				
Consideration	konsidıreyşın	DÜŞÜNÜŞ, TARTIŞ				
Consist	kınsist	OLUŞMAK				
Consul	konsl	KONSOLOS				
Consult	kınsalt	DANIŞMAK				
Consultation	konslteyşın	TOPLANTI, KONSÜLTASYON				
Contain	konteyn	KAPSAMAK				
Container	konteynır	KAP				
Content	kontent	TATMİN OLMUŞ				
Contents	kontents	İÇERİK				
Continuous	kontinuıs	SÜREKLİ				
Contrary	kontrıri	TERSİNE, ZIDDINA				
Contrast	kıntrast	KARŞILAŞTIRMAK				
Control	kontroul	KONTROL ETMEK, YÖNETMEK				
Convenience	konvinyıns	UYGUNLUK, KOLAYLIK				
Convenient	konvinyınt	ELVERİŞLİ, UYGUN				
Conversation	konverseyşın	SÖYLEŞİ				
Cook	kuuk	1.AŞÇI 2.YEMEK PİŞİRMEK				
Cool	kuul	1.SERİN 2.SERİNLETMEK, SOĞUTMAK				
Cop	kap	POLİS				
Copper	kapır	BAKIR				
Copy	kopi	KOPYALAMAK, TAKLİT ETMEK				
Corn	korn	1. EKİN, MISIR 2.NASIR (tread on someone~s corns)				
Corner	kornır	KÖŞE				
Correct	korekt	1.HATASIZ  2.DÜZELTMEK				
Cost	kost	MALİYET,  MAL OLMAK				
Costly	kostli	PAHALI				
Cottage	kotıc	KÖY EVİ				
Cotton	kotn	PAMUK				
Cough	kof	ÖKSÜRMEK				
Council	kaunsl	KONSEY				
Count	kaunt	SAYMAK				
Country	kantri	1.ÜLKE  2.KIRLIK ALAN				
Couple	kapıl	1.ÇİFT (karı-koca v.b)  2.BİR KAÇ				
Courage	karıc	CESARET				
Course	kors	1.GİDİŞAT  2.KURS				
Court	kort	1.MAHKEME  2.KORT				
Cousin	kazn	KUZEN				
Cover	kavır	KAPLAMAK				
Cow	kau	İNEK				
Coward	kauırd	KORKAK				
Crack	krek	KIRMAK				
Crash	kreş	ÇARPIŞMAK (sertçe), ÇARPIŞTIRMAK				
Crazy	kreyzi	ÇILGIN				
Cream	kriim	1.KREMA  2.KREM  3.KİRLİ BEYAZ				
Creation	krieyşın	YARATIŞ				
Creature	kriiçır	YARATIK				
Crime	kraym	SUÇ				
Criminal	kriminl	SUÇLU (yasa önünde)				
Criticize	kritisayz	ELEŞTİRMEK				
Crop	krop	ÜRÜN (toprak ürünü)				
Cross	kros	1.KARŞIDAN KARŞIYA GEÇMEK,ÇAPRAZLAMA GİTMEK 2.HAÇ				
Crossing	krosing	GEÇİT				
Crossroads	krosroudz	KAVŞAK				
Crowd	kraud	KALABALIK				
Crown	kraun	TAÇ				
Cruel	kruıl	ZALİM				
Cruise	kruuz	1.DENİZ GEZİSİ  2.KITALARARASI SİLAH				
Crush	kraş	KIRMAK (basarak)				
Cry	kray	BAĞIRMAK, AĞLAMAK				
Cube	küub	KÜP				
Cucumber	küukambır	HIYAR				
Cultivate	kaltıveyt	TOPRAKLA UĞRAŞMAK				
Culture	kalçır	KÜLTÜR				
Cup	kap	1.FİNCAN  2.KUPA				
Cure	küur	İYİLEŞTİRMEK, TEDAVİ, İŞLEM				
Curiosity	küriositi	MERAK				
Curious	küriyıs	1.MERAKLI 2.OLAĞANDIŞI				
Curl	körl	KIVIRMAK				
Current	karınt	1.AKIM 2.CARİ 3.KUR				
Curse	körs	LANET				
Curtain	körtn	PERDE				
Curve	körv	EĞRİ				
Custom	kastım	GELENEK				
Customer	kastımır	ALICI, MÜŞTERİ				
Customs	kastımz	GÜMRÜK				
Cut	kat	KESMEK				
Cycle	saykl	BİSİKLET, TUR



Dad	ded	BABA				
Daily	deyli	GÜNLÜK				
Dam	dem	BARAJ				
Damp	demp	NEMLİ				
Dance	dens	DANS				
Danger	deyncır	TEHLİKE				
Dangerous	deyncrıs	TEHLİKELİ				
Dare	deyr	1.CESARETLİ OLMAK,CÜRET GÖSTERMEK 2.MEYDAN OKUMAK				
Dark	dark	1.KARANLIK 2.KOYU 3.SİYAH TENLİ				
Dash	deş	1.FIRLAMAK ANİDEN KOŞMAK  2.'-'işareti				
Date	deyt	GÜNÜN TARİHİ				
Daughter	dotır	KIZ ÇOCUK				
Day	dey	GÜN				
Dead	ded	ÖLÜ				
Deal	diıl	ALIP SATMAK (ticari), İŞ YAPMAK				
Dear	diır	1.SEVGİLİ, SEVİLEN  2.PAHALI				
Death	deth	ÖLÜM				
Deceive	dısiiv	KANDIRMAK				
December	dısembır	ARALIK (ayı)
Decide	disayd	KARAR VERMEK
Decision	dısijn	KARAR
Declare	dikleır	AÇIKLAMAK
Decorate	dekıreyt	DÖŞEMEK, DEKORE ETMEK
Deed	diid	1.EYLEM  2.TAPU
Deep	diip	DERİN
Deer	diır	GEYİK
Defeat	dıfiit	KAYBETMEK (oyunda,savaşta,vs.)
Defence	difens	SAVUNMA, DEFANS
Defend	difend	SAVUNMAK
Definite	defınit	KESİN, BELİRLİ
Degree	dıgrii	DERECE
Delay	dıley	GECİKTİRMEK, ERTELEMEK
Delicate	delikıt	NAZİK
Delicious	dılişıs	LEZZETLİ
Delight	dılayt	HOŞNUTLUK
